description,file
"One triangle that is identical to the original has been drawn and shaded below the original triangle. They are aligned at the bases and meet to form a parallelogram.
",48d27a28-851f-4fcb-82b1-b252ea5d8295.jpg
"one triangle drawn above the original triangle and connected on the long side to make a parallelogram
",420ec849-d0da-4f45-aed0-645bfa3b1d62.jpg
"”x2” written next to the original triangle. Arrow pointing right. A rectangle with a line from the top left to bottom right corner.
",c5cc8cbc-7844-405b-a204-6aca67ef4384.jpg
"Student drew and shaded an identical triangle above the original and aligned with the long side to make a parallelogram. There are parentheses with hearts in them above and below the shape and parentheses with stars in them on the left and right sides.
There is an arrow pointing from the explanation to the model.
",abc6bf50-9b06-4c09-9e7c-90a1403ff860.jpg
" a shaded triangle drawn above the original triangle aligned with the long side to create a parallelogram.
",231b00f3-c151-48a0-a19c-d17882ba7baf.jpg
"The student filled in ""25"" in the top number line. The student completed the bottom line with ""2, 3, 4, 5, 6, 7, 8, 9"".
",1e49326b-9fe8-4c5a-b7e8-fa1eea1e9a0c.jpg
"The student labeled the bottom number line with ""2, 3, 4, 5, 6, 7, 8, 9"".
",332ea863-c4fa-4905-96bb-32fc71aa5ffe.jpg
"The student filled in two given sets of double number lines. In the first double number line, the student continued the top number line with ""25, 47.5"". The student completed the bottom line with ""2, 3, 4, 5, 6, 7, 8, 9"". In the second double number line, the student completed the top number line with ""25, 50, 75"". The student completed the bottom number line with ""1, 2, 3"".
",8d32fce4-90ee-4678-910f-5fb0f60d4dce.jpg
"The student filled in two given sets of double number lines. In the first double number line, the student completed the top number line with ""25, 37.5, 50, 62.5, 75, 87.5, 100, 112.5"". Note that 100 was pre-filled in the diagram. The student completed the bottom line with ""2, 3, 4, 5, 6, 7, 8, 9"". In the second double number line, the student completed the top number line with ""25, 50, 75"". The student completed the bottom number line with ""1, 2, 3"".
",9ca12d51-d5e0-41ee-9a9b-fd74a95f8982.jpg
"The student filled in two given sets of double number lines. In the first double number line, the student completed the top number line with ""12\frac{1}{2}, 25, 37\frac{1}{2} , 50, 62\frac{1}{2} , 75, 87\frac{1}{2} , 100, 112\frac{1}{2} "". Note that 100 was pre-filled in the diagram. The student completed the bottom line with ""2, 3, 4, 5, 6, 7, 8, 9"". In the second double number line, the student completed the top number line with ""40, 60, 80"". The student completed the bottom number line with ""1, 2, 3"".
",2d33d6a3-d2eb-496d-9ac6-832911e178f1.jpg
"Student drew a rectangle. The top is labeled 11.8 in, the right side is labeled 7.2 in
",bdeb1dcb-581f-42ec-8221-bbe3abcfd5b4.jpg
"Student drew a rectangle. The top is labeled 3.25 cm, the left side is labeled 2.25 cm
",eff2c3a7-d00f-44eb-8b52-ee971cfbbc39.jpg
"The top of the diagram is labeled 6.5 cm 39 in. The left of the diagram is labeled 4.5 cm 27 in. 
Student drew a rectangle. The top is labeled 3.25 cm, the left side is labeled 2.25 cm
",ad69c1b3-77c4-43f9-8c59-c103d171a884.jpg
"Student drew a rectangle. The top is labeled 13.2, the left side is labeled 8.8
",082202fb-9d8b-4f9c-9c75-aafd95bf30cd.jpg
"Student drew a rectangle. The top is labeled 39 in, the left side is labeled 27 in
",82f5cbd7-c8d6-4736-9473-be1bfbea49e6.jpg
"Student drew a rectangle. The top is labeled 1 \frac{1}{3} , the right side is labeled \frac{5}{6} 
",de67c537-1511-4c47-827d-c93d3226431d.jpg
"The top of the diagram is labeled 2 \frac{2}{3}  , the right side is labeled 1 \frac{2}{3} 
Student drew a rectangle. The top is labeled 1 \frac{1}{3} , the right side is labeled \frac{5}{6} 

",48ccd25f-1f42-4e7e-9885-e181b87caae6.jpg
"The student drew a rectangle inside another rectangle. There are no labels. 
",c188e525-fcde-426a-8e8d-ca13f8ec1225.jpg
"The student drew a rectangle inside another rectangle. The smaller rectangle has no labeled. The top of the larger rectangle is labeled 6, the right side is labeled 2. 
",f361300f-afd7-499a-971b-21d3171bc15c.jpg
"9\cdot6= is written to the left of a parallelogram with base 6 and height 9.
",bcd85520-da3f-4ca0-a4b5-88f161be2f95.jpg
"Parallelogram diagram transformed into a rectangle by drawing the top triangle underneath it.
",d7d7c7d6-d190-442b-9c44-7dde22f8c7cb.jpg
"Parallelogram with bottom triangle drawn ontop, completing the upper rectangle.
",67d45367-65ac-4105-b50a-31379df777b9.jpg
